日期,开盘,收盘,最高,最低,涨跌幅,涨跌额,成交量,成交额,振幅,换手率
2016-05-23,1001.39,1005.92,1006.6,1000.59,0.59,5.92,1235739,2887905456.0,0.6,0.26
2016-05-24,1004.42,999.7,1004.74,993.73,-0.62,-6.22,1180498,2510490544.0,1.09,0.25
2016-05-25,1004.48,992.4,1008.0,991.42,-0.73,-7.3,1135498,2585217616.0,1.66,0.24
2016-05-26,991.79,994.67,996.3,976.14,0.23,2.27,1235560,2605467440.0,2.03,0.26
2016-05-27,993.2,991.93,995.83,987.47,-0.28,-2.74,1000615,2377969936.0,0.84,0.21
2016-05-30,988.85,988.73,995.21,980.55,-0.32,-3.2,955636,2401931008.0,1.48,0.2
2016-05-31,990.46,1019.42,1019.42,990.46,3.1,30.69,2111170,4441162496.0,2.93,0.45
2016-06-01,1021.7,1021.78,1029.76,1021.04,0.23,2.36,1950072,4195047040.0,0.86,0.41
2016-06-02,1021.97,1022.68,1024.41,1015.91,0.09,0.9,1706449,3616560416.0,0.83,0.36
2016-06-03,1024.02,1034.76,1037.18,1020.11,1.18,12.08,2215343,4828322560.0,1.67,0.47
2016-06-06,1036.12,1033.64,1038.7,1029.28,-0.11,-1.12,1684694,3604608352.0,0.91,0.36
2016-06-07,1032.88,1028.22,1033.36,1025.06,-0.52,-5.42,1652964,3598220816.0,0.8,0.35
2016-06-08,1026.0,1023.04,1026.97,1017.84,-0.5,-5.18,1959521,4682030080.0,0.89,0.42
2016-06-13,1013.83,987.38,1017.81,987.27,-3.49,-35.66,2083289,4480231168.0,2.99,0.44
2016-06-14,984.45,988.84,991.73,979.4,0.15,1.46,1321161,2763199632.0,1.25,0.28
2016-06-15,980.81,1005.71,1009.64,977.65,1.71,16.87,1686599,3430933808.0,3.24,0.36
2016-06-16,1005.71,999.91,1007.85,997.35,-0.58,-5.8,1556971,3176276560.0,1.04,0.33
2016-06-17,1002.54,1015.37,1022.88,1002.54,1.55,15.46,2000811,4289120576.0,2.03,0.42
2016-06-20,1015.71,1012.61,1016.94,1004.08,-0.27,-2.76,1644158,3640753632.0,1.27,0.35
2016-06-21,1017.47,1005.56,1024.59,1002.46,-0.7,-7.05,1767146,3897898592.0,2.19,0.38
2016-06-22,1003.52,1017.3,1017.33,1002.54,1.17,11.74,1387032,3069441504.0,1.47,0.29
2016-06-23,1017.59,1014.8,1019.18,1011.38,-0.25,-2.5,1414865,3134126496.0,0.77,0.3
2016-06-24,1014.03,1002.02,1020.89,987.65,-1.26,-12.78,2060908,4304441856.0,3.28,0.44
2016-06-27,997.64,1020.02,1020.15,997.64,1.8,18.0,1754888,3872549136.0,2.25,0.37
2016-06-28,1017.09,1037.49,1038.2,1016.04,1.71,17.47,2826641,5954106368.0,2.17,0.6
2016-06-29,1040.77,1037.44,1043.53,1033.95,0.0,-0.05,2133721,4634060800.0,0.92,0.45
2016-06-30,1039.22,1040.41,1043.07,1035.23,0.29,2.97,1695181,3744522992.0,0.76,0.36
2016-07-01,1042.25,1036.99,1047.59,1035.87,-0.33,-3.42,1513184,3035836992.0,1.13,0.32
2016-07-04,1034.01,1054.28,1054.37,1032.75,1.67,17.29,2078294,4223001104.0,2.08,0.44
2016-07-05,1055.67,1053.28,1058.56,1051.1,-0.09,-1.0,1983937,4084043328.0,0.71,0.42
2016-07-06,1051.99,1062.89,1063.17,1047.89,0.91,9.61,1990110,3984776208.0,1.45,0.42
2016-07-07,1062.72,1072.56,1078.07,1060.39,0.91,9.67,2681561,5406082560.0,1.66,0.57
2016-07-08,1072.41,1069.48,1074.68,1066.05,-0.29,-3.08,2081031,4318623232.0,0.8,0.44
2016-07-11,1072.7,1071.2,1081.84,1065.71,0.16,1.72,2508630,5257779712.0,1.51,0.53
2016-07-12,1071.27,1098.1,1098.27,1070.7,2.51,26.9,3053272,6661129984.0,2.57,0.65
2016-07-13,1104.83,1102.04,1114.06,1098.5,0.36,3.94,2624138,5830332672.0,1.42,0.56
2016-07-14,1101.71,1102.49,1104.48,1096.06,0.04,0.45,2078747,4331984640.0,0.76,0.44
2016-07-15,1104.05,1104.12,1107.85,1098.95,0.15,1.63,2107244,4171225264.0,0.81,0.45
2016-07-18,1101.67,1098.05,1104.53,1092.11,-0.55,-6.07,2079170,4452432640.0,1.12,0.44
2016-07-19,1097.45,1094.29,1098.99,1085.84,-0.34,-3.76,1863361,4141008544.0,1.2,0.4
2016-07-20,1094.2,1095.42,1100.79,1092.14,0.1,1.13,1775291,3477423248.0,0.79,0.38
2016-07-21,1094.85,1100.61,1108.11,1094.08,0.47,5.19,1917929,4324113664.0,1.28,0.41
2016-07-22,1102.45,1095.57,1104.5,1092.81,-0.46,-5.04,2222110,5222385920.0,1.06,0.47
2016-07-25,1094.94,1103.36,1105.08,1093.78,0.71,7.79,1664248,3910939568.0,1.03,0.35
2016-07-26,1103.4,1120.83,1121.24,1102.97,1.58,17.47,2603956,5191035904.0,1.66,0.55
2016-07-27,1121.61,1099.33,1132.1,1082.25,-1.92,-21.5,4592505,9684054272.0,4.45,0.98
2016-07-28,1097.49,1105.64,1110.19,1093.84,0.57,6.31,3311526,7747023616.0,1.49,0.7
2016-07-29,1105.84,1104.41,1109.99,1099.51,-0.11,-1.23,2857929,5879591936.0,0.95,0.61
2016-08-01,1101.03,1084.0,1101.03,1076.08,-1.85,-20.41,2573566,5719305472.0,2.26,0.55
2016-08-02,1083.78,1096.92,1097.1,1083.78,1.19,12.92,2087938,4611469568.0,1.23,0.44
2016-08-03,1094.44,1096.1,1100.68,1090.36,-0.07,-0.82,1896680,4438750208.0,0.94,0.4
2016-08-04,1094.45,1093.29,1097.58,1086.01,-0.26,-2.81,1766619,3905331456.0,1.06,0.38
2016-08-05,1091.44,1094.72,1101.39,1091.39,0.13,1.43,2231532,4626345984.0,0.91,0.47
2016-08-08,1092.88,1105.27,1105.39,1085.29,0.96,10.55,1898207,4167488704.0,1.84,0.4
2016-08-09,1105.21,1117.72,1117.78,1105.21,1.13,12.45,2310977,5083496448.0,1.14,0.49
2016-08-10,1117.93,1111.18,1120.45,1110.54,-0.59,-6.54,2223690,4813756160.0,0.89,0.47
2016-08-11,1109.89,1097.46,1114.06,1096.88,-1.23,-13.72,1710202,3822244272.0,1.55,0.36
2016-08-12,1095.97,1107.16,1107.76,1095.85,0.88,9.7,1704865,3801639664.0,1.09,0.36
2016-08-15,1109.37,1126.81,1127.42,1107.44,1.77,19.65,2695723,5896798720.0,1.8,0.57
2016-08-16,1126.99,1129.57,1133.49,1124.18,0.24,2.76,2818580,5958339328.0,0.83,0.6
2016-08-17,1128.84,1132.22,1134.83,1124.86,0.23,2.65,2295203,5083624704.0,0.88,0.49
2016-08-18,1130.51,1126.53,1133.77,1123.23,-0.5,-5.69,2373153,5217359616.0,0.93,0.5
2016-08-19,1125.55,1126.81,1129.28,1119.88,0.02,0.28,1778891,3796409488.0,0.83,0.38
2016-08-22,1128.26,1133.74,1139.64,1128.26,0.62,6.93,3889128,6917128192.0,1.01,0.83
2016-08-23,1131.71,1141.43,1147.08,1130.99,0.68,7.69,4147589,6789130496.0,1.42,0.88
2016-08-24,1140.46,1144.1,1149.65,1140.46,0.23,2.67,3332917,5926074880.0,0.81,0.71
2016-08-25,1137.18,1143.1,1144.72,1127.4,-0.09,-1.0,3484698,6212655872.0,1.51,0.74
2016-08-26,1144.85,1153.38,1163.82,1144.35,0.9,10.28,3483673,6606909952.0,1.7,0.74
2016-08-29,1151.86,1150.5,1155.77,1147.16,-0.25,-2.88,3352166,6884675584.0,0.75,0.71
2016-08-30,1149.81,1145.39,1154.52,1142.97,-0.44,-5.11,2589750,5392513024.0,1.0,0.55
2016-08-31,1144.27,1148.74,1149.11,1136.86,0.29,3.35,2216710,4456658688.0,1.07,0.47
2016-09-01,1148.76,1143.67,1152.18,1143.5,-0.44,-5.07,2078682,4263484800.0,0.76,0.44
2016-09-02,1141.92,1148.44,1149.58,1139.0,0.42,4.77,2689460,5864917504.0,0.93,0.57
